Job_Category,Experience_Level,count,median,mean,min,max,std,needs_synthetic_expansion
App Development,Beginner,80,39.364999999999995,42.69725,6.07,96.72,26.1407384172674,False
App Development,Expert,78,48.42,53.2301282051282,5.91,98.92,26.057056949442057,False
App Development,Intermediate,90,56.385,54.944222222222216,6.21,99.04,27.12373971505106,False
Content Writing,Beginner,70,47.06,51.889,5.56,99.53,30.803134093789875,False
Content Writing,Expert,77,62.84,58.44649350649351,6.28,98.52,28.615229188145403,False
Content Writing,Intermediate,84,52.629999999999995,53.56142857142857,5.3,99.7,27.37663343392608,False
Customer Support,Beginner,82,61.6,57.20878048780488,5.94,99.83,26.286318761857558,False
Customer Support,Expert,91,53.08,53.7767032967033,8.25,99.18,26.088624854307035,False
Customer Support,Intermediate,71,50.36,51.074366197183096,6.62,95.1,25.457699297484186,False
Data Entry,Beginner,87,48.89,50.660114942528736,5.24,99.22,27.501286079620822,False
Data Entry,Expert,69,42.26,45.55536231884058,5.63,98.37,24.991450925308214,False
Data Entry,Intermediate,82,50.739999999999995,54.05743902439024,7.18,99.03,27.782529629601637,False
Digital Marketing,Beginner,87,54.61,52.99436781609196,5.14,98.83,28.633033480260917,False
Digital Marketing,Expert,79,52.35,52.29075949367089,8.98,99.37,27.252961484436597,False
Digital Marketing,Intermediate,65,60.99,57.74215384615385,5.33,98.8,27.205962035709405,False
Graphic Design,Beginner,89,50.27,51.15370786516854,6.66,97.56,25.01263559692574,False
Graphic Design,Expert,88,53.62,52.99318181818182,5.32,98.03,28.119461602138625,False
Graphic Design,Intermediate,88,50.825,50.28670454545455,6.34,98.39,22.389309216143115,False
SEO,Beginner,79,52.71,51.570759493670884,5.11,97.42,28.72002418451913,False
SEO,Expert,75,49.49,50.68293333333333,5.02,98.62,26.12408279902072,False
SEO,Intermediate,83,58.24,60.20120481927711,5.34,99.56,27.11611123989962,False
Web Development,Beginner,94,48.515,49.54382978723404,7.22,99.83,26.69035898211884,False
Web Development,Expert,84,50.724999999999994,51.4072619047619,7.39,98.92,25.793289421078015,False
Web Development,Intermediate,78,54.14,53.95089743589744,7.07,99.61,26.30565689920012,False
